pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
K2-18,K2-18 b,Transit,2,32.939623,0.1429,0.2,,0.02807,0.211,4.11,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,38.07,3457,0.36,0.41,3/21/19,K2
K2-18,K2-18 c,Radial Velocity,2,8.962,0.06,0.47,,0.02363,,,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,38.07,3457,0.36,0.41,12/21/17,La Silla Observatory
K2-180,K2-180 b,Transit,1,8.867209,0.0753,,,,0.206,,08h25m51.34s,126.463936,+10d14m49.1s,10.246968,204.51,5358,0.72,0.72,10/26/18,K2
K2-181,K2-181 b,Transit,1,6.894256,0.0706,,,,0.253,,08h30m12.97s,127.554031,+10d54m37.1s,10.910294,364.82,5608,0.99,1.07,10/26/18,K2
K2-182,K2-182 b,Transit,1,4.736837,0.0529,,,,0.246,,08h40m43.28s,130.180328,+10d58m58.6s,10.982941,155.9,5165,0.88,0.8,10/26/18,K2
K2-183,K2-183 b,Transit,3,0.469269,,,25.034,,0.232,,08h20m01.72s,125.007156,+14d01m10.1s,14.019461,331.77,5519,0.93,0.97,2/15/18,K2
K2-183,K2-183 c,Transit,3,10.792635,0.0932,,,,0.256,,08h20m01.72s,125.007156,+14d01m10.1s,14.019461,331.77,5519,0.93,0.97,10/26/18,K2
K2-183,K2-183 d,Transit,3,22.631964,0.1527,,,,0.255,,08h20m01.72s,125.007156,+14d01m10.1s,14.019461,331.77,5519,0.93,0.97,10/26/18,K2
K2-184,K2-184 b,Transit,1,16.995731,0.1229,,,,0.138,,08h36m33.63s,129.140106,+14d27m43.0s,14.461936,75.79,5220,0.86,0.78,10/26/18,K2
K2-185,K2-185 b,Transit,1,10.616646,,,88.932,,0.117,,08h41m02.32s,130.259659,+14d41m25.2s,14.69032,270.41,5722,0.98,0.91,2/15/18,K2
K2-186,K2-186 b,Transit,1,41.474219,,,89.524,,0.283,,09h01m20.39s,135.334976,+18d49m31.6s,18.825455,333.84,5784,1.02,0.98,2/15/18,K2
K2-187,K2-187 b,Transit,4,0.77392,0.0164,,,,0.116,,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,5484,0.98,0.92,10/26/18,K2
K2-187,K2-187 c,Transit,4,2.872042,0.0392,,,,0.161,,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,5484,0.98,0.92,10/26/18,K2
K2-187,K2-187 d,Transit,4,7.14921,0.072,,,,0.283,,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,5484,0.98,0.92,10/26/18,K2
K2-187,K2-187 e,Transit,4,13.609878,0.1106,,,,0.212,,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,5484,0.98,0.92,10/26/18,K2
K2-188,K2-188 b,Transit,2,1.742169,0.0289,,,,0.12,,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,452.9,5977,1.06,1.19,10/26/18,K2
K2-188,K2-188 c,Transit,2,7.810253,0.0785,,,,0.252,,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,452.9,5977,1.06,1.19,10/26/18,K2
K2-189,K2-189 b,Transit,2,2.588309,0.0361,,,,0.136,,13h34m29.11s,203.621292,-15d02m10.9s,-15.036359,243.93,5519,0.94,0.87,10/26/18,K2
K2-189,K2-189 c,Transit,2,6.679195,0.068,,,,0.223,,13h34m29.11s,203.621292,-15d02m10.9s,-15.036359,243.93,5519,0.94,0.87,10/26/18,K2
K2-19,K2-19 b,Transit,3,7.9194,0.074,,89.47,,0.691,,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,292.14,5430,0.93,0.86,7/7/16,K2
K2-19,K2-19 c,Transit,3,11.90715,0.0971,,87.99,,0.434,,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,292.14,5430,0.93,0.86,7/7/16,K2
K2-19,K2-19 d,Transit,3,2.50856,0.0344,,85.83,,0.102,,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,292.14,5430,0.93,0.86,7/7/16,K2
K2-190,K2-190 b,Transit,2,10.098858,,,88.357,,0.121,,13h41m27.24s,205.363495,-13d09m39.2s,-13.160896,161.42,5631,0.9,0.91,2/15/18,K2
K2-190,K2-190 c,Transit,2,21.574023,,,88.977,,0.098,,13h41m27.24s,205.363495,-13d09m39.2s,-13.160896,161.42,5631,0.9,0.91,2/15/18,K2
K2-191,K2-191 b,Transit,1,2.858646,,,87.051,,0.141,,13h26m33.40s,201.639175,-12d48m23.6s,-12.806568,289.57,5176,0.9,0.84,2/15/18,K2
K2-192,K2-192 b,Transit,1,4.162817,0.049,,,,0.136,,13h46m19.75s,206.582275,-11d33m22.5s,-11.556253,223.99,5222,0.9,0.81,10/26/18,K2
K2-193,K2-193 b,Transit,1,14.786889,0.1184,,,,0.352,,13h40m56.89s,205.237061,-11d00m33.5s,-11.009296,416.91,5817,1.01,0.98,10/26/18,K2
K2-194,K2-194 b,Transit,1,39.721386,,,89.065,,0.325,,13h38m26.14s,204.608932,-08d55m37.7s,-8.92715,640.65,5979,1.11,1.28,2/15/18,K2
K2-195,K2-195 b,Transit,2,15.852975,0.1208,,,,0.279,,13h19m19.56s,199.831512,-08d30m34.1s,-8.50948,317.83,5713,0.94,0.99,10/26/18,K2
K2-195,K2-195 c,Transit,2,28.482786,,,88.537,,0.23,,13h19m19.56s,199.831512,-08d30m34.1s,-8.50948,317.83,5713,0.94,0.99,2/15/18,K2
K2-196,K2-196 b,Transit,1,48.324222,,,88.274,,0.321,,13h21m49.52s,200.456345,-08d28m18.2s,-8.471721,594.09,6045,1.16,1.54,2/15/18,K2
K2-197,K2-197 b,Transit,1,8.357881,0.0806,,,,0.228,,13h29m34.48s,202.393661,-07d22m26.4s,-7.374002,249.59,5667,1,0.93,10/26/18,K2
K2-198,K2-198 b,Transit,1,17.043179,,,89.397,,0.367,,13h15m22.51s,198.843811,-06d27m53.6s,-6.464886,110.91,5262,0.84,0.78,2/15/18,K2
K2-199,K2-199 b,Transit,2,3.225338,0.0385,,,,0.167,,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,107.97,4648,0.73,0.68,10/26/18,K2
K2-199,K2-199 c,Transit,2,7.374694,0.0668,,,,0.248,,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,107.97,4648,0.73,0.68,10/26/18,K2
K2-200,K2-200 b,Transit,1,2.849883,,,87.968,,0.122,,13h29m00.38s,202.251602,-04d36m36.8s,-4.610228,185.09,5233,0.86,0.79,2/15/18,K2
K2-201,K2-201 b,Transit,2,1.05979,,,84.414,,0.125,,19h34m14.58s,293.56073,-23d07m51.7s,-23.131035,199.05,5507,0.96,0.88,2/15/18,K2
K2-201,K2-201 c,Transit,2,22.779878,,,89.272,,0.293,,19h34m14.58s,293.56073,-23d07m51.7s,-23.131035,199.05,5507,0.96,0.88,2/15/18,K2
K2-202,K2-202 b,Transit,1,3.405164,,,87.672,,0.205,,18h53m03.43s,283.264282,-22d24m25.3s,-22.407034,302.99,5491,0.97,0.91,2/15/18,K2
K2-203,K2-203 b,Transit,1,9.695101,,,88.43,,0.122,,00h51m05.70s,12.773741,-01d11m45.2s,-1.195891,166.93,5000,0.79,0.76,2/15/18,K2
K2-204,K2-204 b,Transit,1,7.055784,,,87.649,,0.272,,01h09m31.81s,17.382523,-00d31m03.4s,-0.51762,586.87,5755,1.01,1.18,2/15/18,K2
K2-205,K2-205 b,Transit,1,26.672263,,,89.097,,0.178,,01h00m52.20s,15.217487,+00d25m33.6s,0.425996,409.95,5890,0.95,1.08,2/15/18,K2
K2-206,K2-206 b,Transit,1,18.294549,,,89.112,,0.249,,00h45m01.52s,11.256313,+00d35m35.7s,0.593257,246.14,5043,0.79,0.76,2/15/18,K2
K2-207,K2-207 b,Transit,1,12.48749,,,88.62,,0.232,,00h46m47.93s,11.699704,+00d38m26.9s,0.640796,366.84,5522,0.94,0.93,2/15/18,K2
K2-208,K2-208 b,Transit,1,4.190948,,,88.043,,0.15,,01h23m06.98s,20.779097,+00d53m21.0s,0.889177,258.76,5582,0.93,0.86,2/15/18,K2
K2-209,K2-209 b,Transit,1,2.080615,,,86.231,,0.077,,00h58m45.76s,14.690681,+01d23m01.7s,1.383812,76.67,4720,0.74,0.71,2/15/18,K2
K2-21,K2-21 b,Transit,2,9.325038,0.076,0.1,88.98,,0.164,,22h41m12.88s,340.30368,-14d29m20.4s,-14.488987,83.85,4222.06,0.68,0.65,10/26/17,K2
K2-21,K2-21 c,Transit,2,15.50192,0.107,0.21,88.85,,0.222,,22h41m12.88s,340.30368,-14d29m20.4s,-14.488987,83.85,4222.06,0.68,0.65,10/26/17,K2
K2-210,K2-210 b,Transit,1,0.570233,,,84.105,,0.073,,01h10m33.82s,17.640936,+01d34m41.8s,1.578266,177.39,5396,0.91,0.85,2/15/18,K2
K2-211,K2-211 b,Transit,1,0.669558,,,81.569,,0.123,,01h24m25.43s,21.105953,+01d42m17.8s,1.704954,274.39,5221,0.88,0.82,2/15/18,K2
K2-212,K2-212 b,Transit,1,9.79551,0.0785,,,,0.225,,01h13m41.62s,18.423407,+03d05m49.0s,3.096936,109.32,4272,0.67,0.65,10/26/18,K2
K2-213,K2-213 b,Transit,1,8.13087,,,87.862,,0.135,,00h52m33.67s,13.140305,+03d30m27.7s,3.507705,394.05,5794,1.07,1.2,2/15/18,K2
K2-214,K2-214 b,Transit,1,8.596802,0.0834,,,,0.217,,00h59m30.26s,14.876077,+04d13m40.1s,4.227798,303.28,5854,1.05,1.27,10/26/18,K2
K2-215,K2-215 b,Transit,1,8.269648,,,88.984,,0.189,,01h13m52.82s,18.470087,+06d07m26.0s,6.123902,408.67,5704,1,0.97,2/15/18,K2
K2-216,K2-216 b,Transit,1,2.1748,0.028,0,86.9,0.02517,0.156,8.2,00h45m55.26s,11.480249,+06d20m49.1s,6.346971,115.84,4503,0.7,0.72,11/1/18,K2
K2-217,K2-217 b,Transit,1,14.074524,,,88.043,,0.319,,00h45m11.61s,11.298392,+06d28m53.6s,6.481562,386.01,5967,1.1,1.33,2/15/18,K2
K2-218,K2-218 b,Transit,1,8.679885,,,88.453,,0.229,,00h51m14.32s,12.809659,+06d50m47.3s,6.84646,398.41,5757,1.05,1.01,2/15/18,K2
K2-219,K2-219 b,Transit,3,3.901287,,,86.795,,0.12,,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,5753,1.02,1.19,2/15/18,K2
K2-219,K2-219 c,Transit,3,6.66767,,,87.269,,0.128,,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,5753,1.02,1.19,2/15/18,K2
K2-219,K2-219 d,Transit,3,11.137278,,,88.287,,0.23,,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,5753,1.02,1.19,2/15/18,K2
K2-22,K2-22 b,Transit,1,0.381078,0.0088,,,1.4,0.223,,11h17m55.88s,169.482819,+02d37m08.7s,2.61907,245.53,3830,0.6,0.57,10/15/15,K2
K2-220,K2-220 b,Transit,1,13.683256,0.1104,,,,0.213,,00h51m04.77s,12.769862,+09d31m00.5s,9.516806,234.92,5660,0.96,1.02,10/26/18,K2
K2-221,K2-221 b,Transit,1,2.399094,,,85.447,,0.15,,01h06m37.20s,16.654982,+10d11m22.9s,10.189687,321.63,5716,1.01,0.95,2/15/18,K2
K2-222,K2-222 b,Transit,1,15.387063,0.1211,,,,0.213,,01h05m50.95s,16.46228,+11d45m12.3s,11.753423,101.59,6058,1,1.09,10/26/18,K2
K2-223,K2-223 b,Transit,2,0.50565,0.0127,,,,0.079,,12h21m13.48s,185.306152,-10d16m55.3s,-10.282037,201.1,5835,1.06,0.99,7/12/18,K2
K2-223,K2-223 c,Transit,2,4.56327,0.0549,,,,0.14,,12h21m13.48s,185.306152,-10d16m55.3s,-10.282037,201.1,5835,1.06,0.99,7/12/18,K2
K2-224,K2-224 b,Transit,2,4.47904,0.0516,,,,0.139,,12h38m48.98s,189.704086,-10d03m38.4s,-10.060654,277.7,5620,0.91,0.84,7/12/18,K2
K2-224,K2-224 c,Transit,2,10.09489,0.0886,,,,0.215,,12h38m48.98s,189.704086,-10d03m38.4s,-10.060654,277.7,5620,0.91,0.84,7/12/18,K2
K2-225,K2-225 b,Transit,1,15.87209,0.134,,,,0.311,,12h26m09.91s,186.54129,-09d37m29.3s,-9.624804,360.3,5742,1.27,1.7,7/12/18,K2
K2-226,K2-226 b,Transit,1,3.27108,0.0413,,,,0.137,,12h14m34.98s,183.645752,-09d33m45.5s,-9.562642,211.2,5424,0.88,0.91,7/12/18,K2
K2-227,K2-227 b,Transit,1,13.621832,,,88.374,,0.149,,12h43m47.63s,190.948471,-08d28m41.7s,-8.478236,188.22,5673,0.95,0.89,2/15/18,K2
K2-228,K2-228 b,Transit,1,2.69828,0.0338,,,,0.108,,12h29m10.75s,187.294785,-06d50m03.3s,-6.834258,142.4,4715,0.71,0.65,7/12/18,K2
K2-229,K2-229 b,Transit,2,0.58426,0.0131,,,,0.102,,12h27m29.58s,186.87326,-06d43m18.7s,-6.721861,103.8,5315,0.87,0.79,7/12/18,K2
K2-229,K2-229 c,Transit,2,8.32727,0.0769,,,,0.181,,12h27m29.58s,186.87326,-06d43m18.7s,-6.721861,103.8,5315,0.87,0.79,7/12/18,K2
K2-230,K2-230 b,Transit,1,2.86041,0.0409,,,,0.175,,12h45m27.17s,191.363205,-06d34m34.0s,-6.576109,548.9,5945,1.11,1.39,7/12/18,K2
K2-231,K2-231 b,Transit,1,13.841901,,,88.6,,0.223,,19h16m22.04s,289.091827,-15d46m16.0s,-15.771108,295,5695,1.01,0.95,4/5/18,K2
K2-232,K2-232 b,Transit,1,11.168454,0.10356,0.258,89.14,0.398,1,,04h55m03.96s,73.76651,+18d39m16.3s,18.654535,131.21,6154,1.19,1.16,4/5/18,K2
K2-233,K2-233 b,Transit,3,2.46746,0.03317,0,88.79,,0.125,,15h21m55.20s,230.47998,-20d13m54.1s,-20.231684,67.64,4950,0.8,0.74,4/26/18,K2
K2-233,K2-233 c,Transit,3,7.06142,0.06687,0,88.95,,0.119,,15h21m55.20s,230.47998,-20d13m54.1s,-20.231684,67.64,4950,0.8,0.74,4/26/18,K2
K2-233,K2-233 d,Transit,3,24.3662,0.1527,0,89.35,,0.236,,15h21m55.20s,230.47998,-20d13m54.1s,-20.231684,67.64,4950,0.8,0.74,4/26/18,K2
K2-237,K2-237 b,Transit,1,2.1805577,0.0353,0,84.6,1.236,1.642,0.37,16h55m04.53s,253.76889,-28d42m38.0s,-28.710564,309.5,6099,1.23,1.38,5/23/19,Paranal Observatory
K2-238,K2-238 b,Transit,1,3.20466,0.046,0,84.5,0.86,1.3,0.56,23h10m49.04s,347.704346,-07d51m27.0s,-7.857499,453,5630,1.19,1.59,6/21/18,Paranal Observatory
K2-239,K2-239 b,Transit,3,5.24,0.0441,,88.99,,0.098,,10h42m22.63s,160.594299,+04d26m28.9s,4.441349,49,3420,0.4,0.36,6/21/18,K2
K2-239,K2-239 c,Transit,3,7.775,0.0576,,88.77,,0.089,,10h42m22.63s,160.594299,+04d26m28.9s,4.441349,49,3420,0.4,0.36,6/21/18,K2
K2-239,K2-239 d,Transit,3,10.115,0.0685,,89.43,,0.098,,10h42m22.63s,160.594299,+04d26m28.9s,4.441349,49,3420,0.4,0.36,6/21/18,K2
K2-24,K2-24 b,Transit,2,20.88977,,0.06,,0.05978,0.482,0.64,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,171.39,5625,1.07,1.16,12/13/18,K2
K2-24,K2-24 c,Transit,2,42.3391,,0.07,,0.04845,0.669,0.2,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,171.39,5625,1.07,1.16,12/13/18,K2
K2-240,K2-240 b,Transit,2,6.034,0.0513,,89.26,,0.178,,15h11m23.91s,227.849609,-17d52m30.8s,-17.875217,70,3810,0.58,0.54,6/21/18,K2
K2-240,K2-240 c,Transit,2,20.523,0.1159,,89.66,,0.161,,15h11m23.91s,227.849609,-17d52m30.8s,-17.875217,70,3810,0.58,0.54,6/21/18,K2
K2-241,K2-241 b,Transit,1,26.8199,0.1567,,,,0.227,,12h04m57.45s,181.239365,-06d48m17.7s,-6.804924,149.6,5262,0.71,0.75,7/12/18,K2
K2-242,K2-242 b,Transit,1,6.51389,0.0494,,,,0.227,,11h59m20.62s,179.835907,-06d31m04.3s,-6.517851,109.6,3459,0.38,0.37,7/12/18,K2
K2-243,K2-243 b,Transit,2,11.54182,0.1087,,,,0.194,,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,269.2,6570,1.29,1.39,7/12/18,K2
K2-243,K2-243 c,Transit,2,24.94598,0.1817,,,,0.179,,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,269.2,6570,1.29,1.39,7/12/18,K2
K2-244,K2-244 b,Transit,1,21.06884,0.1418,,,,0.156,,12h13m52.54s,183.468918,-03d49m54.7s,-3.831868,214,5677,0.86,0.92,7/12/18,K2
K2-245,K2-245 b,Transit,1,11.89307,0.0959,,,,0.387,,12h20m43.60s,185.181686,-01d35m27.2s,-1.590889,463.4,5793,0.83,1.25,7/12/18,K2
K2-246,K2-246 b,Transit,1,5.76918,0.0602,,,,0.311,,12h06m31.13s,181.629715,-01d09m38.0s,-1.16056,723.1,5610,0.87,0.94,7/12/18,K2
K2-247,K2-247 b,Transit,2,2.25021,0.0304,,,,0.189,,12h35m34.49s,188.893692,-10d04m09.2s,-10.069232,260.2,4667,0.74,0.69,7/12/18,K2
K2-247,K2-247 c,Transit,2,6.49424,0.0615,,,,0.195,,12h35m34.49s,188.893692,-10d04m09.2s,-10.069232,260.2,4667,0.74,0.69,7/12/18,K2
K2-248,K2-248 b,Transit,1,7.17256,0.0699,,,,0.229,,12h11m16.14s,182.817245,-09d24m50.4s,-9.414005,410.5,5528,0.88,0.92,7/12/18,K2
K2-249,K2-249 b,Transit,1,12.409,0.1151,,,,0.249,,12h13m28.00s,183.366669,-08d59m42.4s,-8.995114,528.3,6504,1.32,1.57,7/12/18,K2
K2-25,K2-25 b,Transit,1,3.484552,,0.27,88.3,,0.306,,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,45.01,3180,0.29,0.29,9/28/17,K2
K2-250,K2-250 b,Transit,1,4.01457,0.0459,,,,0.218,,12h20m07.62s,185.031769,-08d58m32.8s,-8.975785,417.6,5172,0.8,0.81,7/12/18,K2
K2-251,K2-251 b,Transit,1,9.30075,0.0694,,,,0.21,,12h42m45.41s,190.689224,-08d32m09.3s,-8.53592,147.7,3717,0.52,0.49,7/12/18,K2
K2-252,K2-252 b,Transit,1,13.81513,0.1041,,,,0.155,,12h09m27.93s,182.366364,-08d18m34.3s,-8.30952,229.9,5152,0.79,0.82,7/12/18,K2
K2-253,K2-253 b,Transit,1,4.00167,0.0506,,,,1.13,,12h24m20.50s,186.085403,-06d22m44.0s,-6.378884,901.8,6027,1.08,1.1,7/12/18,K2
K2-254,K2-254 b,Transit,2,4.09639,0.0448,,,,0.145,,12h22m12.18s,185.550751,-04d43m02.0s,-4.717236,229.4,4629,0.71,0.67,7/12/18,K2
K2-254,K2-254 c,Transit,2,12.11839,0.0923,,,,0.195,,12h22m12.18s,185.550751,-04d43m02.0s,-4.717236,229.4,4629,0.71,0.67,7/12/18,K2
K2-255,K2-255 b,Transit,1,1.96417,0.0274,,,,0.259,,12h39m39.12s,189.912994,-03d22m14.0s,-3.370542,192.4,4676,0.71,0.69,7/12/18,K2
K2-256,K2-256 b,Transit,1,5.52011,0.0578,,,,0.235,,12h24m54.52s,186.227158,-02d03m57.4s,-2.065931,580.5,5219,0.84,0.78,7/12/18,K2
K2-257,K2-257 b,Transit,1,1.60588,0.0216,,,,0.074,,12h33m06.84s,188.278488,-01d57m11.4s,-1.953159,64.1,3725,0.52,0.5,7/12/18,K2
K2-258,K2-258 b,Transit,1,19.0921,0.149,,,,0.268,,12h30m31.52s,187.631332,-01d09m39.3s,-1.16092,675.2,6351,1.21,1.31,7/12/18,K2
K2-259,K2-259 b,Transit,1,15.48043,0.1271,,,,0.207,,12h27m12.65s,186.802689,+01d34m00.7s,1.566849,422.1,6059,1.14,1.13,7/12/18,K2
K2-26,K2-26 b,Transit,1,14.5665,0.0962,,88.4,,0.238,,06h16m49.58s,94.206581,+24d35m47.1s,24.596411,99.33,3785,0.56,0.52,1/21/16,K2
K2-260,K2-260 b,Transit,1,2.6266657,0.0404,0,88.67,1.42,1.552,0.5,05h07m28.16s,76.867325,+16d52m03.8s,16.867718,676.32,6367,1.39,1.69,8/16/18,K2
K2-261,K2-261 b,Transit,1,11.63344,0.102,0.39,88.4,0.223,0.85,0.483,10h52m07.78s,163.032425,+00d29m36.1s,0.493352,214.58,5537,1.1,1.65,8/16/18,K2
K2-263,K2-263 b,Transit,1,50.818947,0.2573,0.14,89.24,0.04657,0.215,5.7,08h38m43.77s,129.682388,+15d40m50.3s,15.680626,163.23,5368,0.88,0.85,9/27/18,K2
K2-264,K2-264 b,Transit,2,5.840002,0.05023,,89.01,,0.199,,08h45m26.06s,131.358566,+19d41m54.5s,19.698462,187,3660,0.5,0.47,2/7/19,K2
K2-264,K2-264 c,Transit,2,19.660302,0.11283,,89.38,,0.238,,08h45m26.06s,131.358566,+19d41m54.5s,19.698462,187,3660,0.5,0.47,2/7/19,K2
K2-265,K2-265 b,Transit,1,2.369172,0.03376,0.084,87.7,0.02058,0.153,7.1,22h48m07.57s,342.031525,-14d29m40.9s,-14.494689,139.22,5477,0.92,0.98,10/4/18,K2
K2-266,K2-266 b,Transit,4,0.658524,0.01306,,75.32,0.03545,0.294,1.77,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,4285,0.69,0.7,10/26/18,K2
K2-266,K2-266 c,Transit,4,7.814,0.0679,0.042,88.28,0.00091,0.063,4.51,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,4285,0.69,0.7,10/26/18,K2
K2-266,K2-266 d,Transit,4,14.697,0.1035,0.047,89.46,0.028,0.261,2.03,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,4285,0.69,0.7,7/25/19,K2
K2-266,K2-266 e,Transit,4,19.482,0.1249,0.043,89.45,0.04499,0.244,2.21,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,4285,0.69,0.7,7/25/19,K2
K2-268,K2-268 b,Transit,2,2.151894,0.0308,,,,0.126,,08h54m50.29s,133.709549,+11d50m53.8s,11.848265,331.46,5068,0.84,0.78,10/26/18,K2
K2-268,K2-268 c,Transit,2,9.326841,0.0819,,,,0.24,,08h54m50.29s,133.709549,+11d50m53.8s,11.848265,331.46,5068,0.84,0.78,10/26/18,K2
K2-269,K2-269 b,Transit,1,4.144965,0.0531,,,,0.14,,08h40m37.24s,130.155167,+13d00m52.8s,13.014676,362.07,6209,1.16,1.45,10/26/18,K2
K2-27,K2-27 b,Transit,1,6.771315,0.06702,0.251,,0.09722,0.4,1.87,11h26m03.64s,171.515167,+01d13m50.7s,1.230738,251.43,5248,0.87,0.89,2/9/17,K2
K2-270,K2-270 b,Transit,2,1.543069,0.0247,,,,0.123,,08h45m03.98s,131.266602,+13d32m59.4s,13.549833,283.53,4877,0.85,0.77,10/26/18,K2
K2-270,K2-270 c,Transit,2,4.400028,0.0497,,,,0.263,,08h45m03.98s,131.266602,+13d32m59.4s,13.549833,283.53,4877,0.85,0.77,10/26/18,K2
K2-271,K2-271 b,Transit,1,8.562421,0.077,,,,0.649,,08h20m53.73s,125.223885,+16d05m27.4s,16.090946,571.47,5644,0.83,0.99,10/26/18,K2
K2-272,K2-272 b,Transit,1,14.453533,0.1081,,,,0.26,,08h50m29.07s,132.621124,+17d32m32.8s,17.542444,426.57,5419,0.81,0.81,10/26/18,K2
K2-273,K2-273 b,Transit,1,11.716332,0.0974,,,,0.394,,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,310.6,5200,0.9,0.84,10/26/18,K2
K2-274,K2-274 b,Transit,1,14.129714,0.1064,,,,0.196,,08h37m07.79s,129.28244,+20d23m57.7s,20.399372,232.82,5065,0.81,0.74,10/26/18,K2
K2-275,K2-275 b,Transit,2,3.280961,0.04,,,,0.2,,08h48m40.77s,132.169891,+20d27m18.3s,20.455076,124.09,4812,0.79,0.73,10/26/18,K2
K2-275,K2-275 c,Transit,2,8.438756,0.075,,,,0.209,,08h48m40.77s,132.169891,+20d27m18.3s,20.455076,124.09,4812,0.79,0.73,10/26/18,K2
K2-276,K2-276 b,Transit,1,18.718269,0.1291,,,,0.336,,08h23m48.66s,125.952751,+22d38m02.5s,22.634024,489.88,5139,0.82,0.85,10/26/18,K2
K2-277,K2-277 b,Transit,1,6.326763,0.0675,,,,0.185,,13h28m03.99s,202.016632,-15d56m16.2s,-15.93782,113.53,5741,1.02,0.97,10/26/18,K2
K2-278,K2-278 b,Transit,1,3.334966,0.0488,,,,0.266,,13h33m12.43s,203.301773,-14d30m14.6s,-14.504056,804.13,6747,1.4,1.61,10/26/18,K2
K2-279,K2-279 b,Transit,1,7.122605,0.067,,,,0.108,,13h39m07.13s,204.779724,-06d02m29.7s,-6.041594,183.8,5558,0.79,0.86,10/26/18,K2
K2-28,K2-28 b,Transit,1,2.260455,0.0214,0,88.9,,0.207,,22h22m29.85s,335.62439,-07d57m19.3s,-7.955366,63.11,3214,0.26,0.29,2/25/16,K2
K2-280,K2-280 b,Transit,1,19.895202,0.1488,,,,0.684,,19h26m22.88s,291.595337,-22d14m51.6s,-22.247662,396.9,5742,1.11,1.28,10/26/18,K2
K2-281,K2-281 b,Transit,1,8.687721,0.0773,,,,0.73,,01h04m54.56s,16.22735,+07d16m09.2s,7.269234,466.11,4812,0.82,0.76,10/26/18,K2
K2-282,K2-282 b,Transit,2,4.169836,0.0499,,,,0.252,,00h53m43.68s,13.432017,+07d59m43.1s,7.995316,502.28,,0.94,,10/26/18,K2
K2-283,K2-283 b,Transit,1,1.921036,0.0291,,,,0.314,,00h52m46.66s,13.194414,+09d41m34.5s,9.692924,408.24,5060,0.89,0.82,10/26/18,K2
K2-284,K2-284 b,Transit,1,4.795069,0.04771,0.078,89,,0.248,,05h16m33.76s,79.140686,+20d15m18.4s,20.255108,107.6,4140,0.63,0.61,11/15/18,K2
K2-285,K2-285 b,Transit,4,3.471745,0.03817,0,86.846,0.03046,0.231,3.07,23h17m32.23s,349.384277,+01d18m01.0s,1.30029,155.65,4975,0.83,0.79,12/13/18,K2
K2-285,K2-285 c,Transit,4,7.138048,0.0824,0,89.861,0.04933,0.315,1.95,23h17m32.23s,349.384277,+01d18m01.0s,1.30029,155.65,4975,0.83,0.79,12/13/18,K2
K2-285,K2-285 d,Transit,4,10.45582,0.1178,0,89.643,0.02045,0.221,,23h17m32.23s,349.384277,+01d18m01.0s,1.30029,155.65,4975,0.83,0.79,12/13/18,K2
K2-285,K2-285 e,Transit,4,14.76289,0.18041,0,89.799,0.03367,0.174,,23h17m32.23s,349.384277,+01d18m01.0s,1.30029,155.65,4975,0.83,0.79,12/13/18,K2
K2-286,K2-286 b,Transit,1,27.359,0.1768,,89.67,,0.187,,15h33m28.70s,233.369568,-16d46m23.7s,-16.773256,76.32,3926,0.64,0.62,1/10/19,Kepler
K2-287,K2-287 b,Transit,1,14.893291,0.1206,0.478,88.13,0.315,0.847,,15h32m17.84s,233.074341,-22d21m29.7s,-22.358261,159.05,5695,1.06,1.07,1/10/19,Kepler
K2-288 B,K2-288 B b,Transit,1,31.393463,0.164,,89.81,,0.17,,03h41m46.43s,55.443439,+18d16m08.0s,18.268902,65.72,3341,0.33,0.32,1/10/19,Kepler
