pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_facility
MOA-2010-BLG-353L,MOA-2010-BLG-353L b,Microlensing,1,,1.72,,,0.27,,,18h05m12.94s,271.303917,-27d17m35.6s,-27.293233,6430,,0.18,,6/9/16,MOA
MOA-2010-BLG-477L,MOA-2010-BLG-477L b,Microlensing,1,,2,,,1.5,,,18h06m07.44s,271.531006,-31d27m16.1s,-31.454477,2300,5950,0.67,,10/29/14,MOA
MOA-2011-BLG-028L,MOA-2011-BLG-028L b,Microlensing,1,,4.14,,,0.09439,,,18h03m24.96s,270.854,-29d12m48.3s,-29.213417,7380,,0.75,,3/24/16,MOA
MOA-2011-BLG-262L,MOA-2011-BLG-262L b,Microlensing,1,,0.84,,,0.05663,,,18h00m23.48s,270.097833,-31d14m42.9s,-31.245258,7000,,0.12,,6/4/15,MOA
MOA-2011-BLG-291L,MOA-2011-BLG-291L b,Microlensing,1,,0.69,,,0.05663,,,17h55m28.29s,268.867889,-29d10m14.4s,-29.170666,4400,,0.15,,11/29/18,MOA
MOA-2011-BLG-293L,MOA-2011-BLG-293L b,Microlensing,1,,1.1,,,4.8,,,17h55m39.35s,268.913958,-28d28m36.6s,-28.476847,7720,,0.86,,5/14/14,MOA
MOA-2011-BLG-322L,MOA-2011-BLG-322L b,Microlensing,1,,4.3,,,11.6,,,18h04m53.60s,271.223333,-27d13m15.4s,-27.220944,7560,,0.39,,5/14/14,MOA
MOA-2012-BLG-006L,MOA-2012-BLG-006L b,Microlensing,1,,10.2,,,8.4,,,18h01m46.31s,270.442963,-29d06m31.6s,-29.108778,5300,,0.49,,9/15/17,Multiple Observatories
MOA-2012-BLG-505L,MOA-2012-BLG-505L b,Microlensing,1,,0.9,,,0.02108,,,17h52m34.34s,268.143097,-32d02m24.3s,-32.040092,7210,,0.1,,6/22/17,MOA
MOA-2013-BLG-605L,MOA-2013-BLG-605L b,Microlensing,1,,0.94,,,0.01007,,,17h58m42.85s,269.678542,-29d23m53.7s,-29.398239,,,0.03,,5/19/16,MOA
